とん	動詞,非自立,*,*,五段・ラ行,未然特殊,て＋おる,トン,トン
煮立たん	動詞,自立,*,*,五段・タ行,未然特殊,煮立つ,ニタタン,ニタタン
締出さん	動詞,自立,*,*,五段・サ行,未然特殊,締出す,シメダサン,シメダサン
ひやかさん	動詞,自立,*,*,五段・サ行,未然特殊,ひやかす,ヒヤカサン,ヒヤカサン
打ち倒さん	動詞,自立,*,*,五段・サ行,未然特殊,打ち倒す,ウチタオサン,ウチタオサン
そそりたたん	動詞,自立,*,*,五段・タ行,未然特殊,そそりたつ,ソソリタタン,ソソリタタン
探り出さん	動詞,自立,*,*,五段・サ行,未然特殊,探り出す,サグリダサン,サグリダサン
言い交わさん	動詞,自立,*,*,五段・サ行,未然特殊,言い交わす,イイカワサ,イーカワサ
持崩さん	動詞,自立,*,*,五段・サ行,未然特殊,持崩す,モチクズサン,モチクズサン
窄まん	動詞,自立,*,*,五段・マ行,未然特殊,窄む,スボマン,スボマン
はやらさん	動詞,自立,*,*,五段・サ行,未然特殊,はやらす,ハヤラサン,ハヤラサン
うちころさん	動詞,自立,*,*,五段・サ行,未然特殊,うちころす,ウチコロサン,ウチコロサン
懲らさん	動詞,自立,*,*,五段・サ行,未然特殊,懲らす,コラサン,コラサン
はしりださん	動詞,自立,*,*,五段・サ行,未然特殊,はしりだす,ハシリダサン,ハシリダサン
しわばまん	動詞,自立,*,*,五段・マ行,未然特殊,しわばむ,シワバマン,シワバマン
染返さん	動詞,自立,*,*,五段・サ行,未然特殊,染返す,ソメカエサン,ソメカエサン
よみながさん	動詞,自立,*,*,五段・サ行,未然特殊,よみながす,ヨミナガサン,ヨミナガサン
すくいださん	動詞,自立,*,*,五段・サ行,未然特殊,すくいだす,スクイダサン,スクイダサン
問い質さん	動詞,自立,*,*,五段・サ行,未然特殊,問い質す,トイタダサン,トイタダサン
蹴っ飛ばさん	動詞,自立,*,*,五段・サ行,未然特殊,蹴っ飛ばす,ケットバサン,ケットバサン
沁まん	動詞,自立,*,*,五段・マ行,未然特殊,沁む,シマン,シマン
うちたおさん	動詞,自立,*,*,五段・サ行,未然特殊,うちたおす,ウチタオサン,ウチタオサン
おりこまん	動詞,自立,*,*,五段・マ行,未然特殊,おりこむ,オリコマン,オリコマン
振回さん	動詞,自立,*,*,五段・サ行,未然特殊,振回す,フリマワサン,フリマワサン
こづきまわさん	動詞,自立,*,*,五段・サ行,未然特殊,こづきまわす,コヅキマワサン,コズキマワサン
とりもどさん	動詞,自立,*,*,五段・サ行,未然特殊,とりもどす,トリモドサン,トリモドサン
弥立たん	動詞,自立,*,*,五段・タ行,未然特殊,弥立つ,ヨダタン,ヨダタン
めぐらさん	動詞,自立,*,*,五段・サ行,未然特殊,めぐらす,メグラサン,メグラサン
差しかざさん	動詞,自立,*,*,五段・サ行,未然特殊,差しかざす,サシカザサン,サシカザサン
下押さん	動詞,自立,*,*,五段・サ行,未然特殊,下押す,シタオサン,シタオサン
いきりたたん	動詞,自立,*,*,五段・タ行,未然特殊,いきりたつ,イキリタタン,イキリタタン
とろかさん	動詞,自立,*,*,五段・サ行,未然特殊,とろかす,トロカサン,トロカサン
はげまん	動詞,自立,*,*,五段・マ行,未然特殊,はげむ,ハゲマン,ハゲマン
込まん	動詞,非自立,*,*,五段・マ行,未然特殊,込む,コマン,コマン
踏込まん	動詞,自立,*,*,五段・マ行,未然特殊,踏込む,フミコマン,フミコマン
引渡さん	動詞,自立,*,*,五段・サ行,未然特殊,引渡す,ヒキワタサン,ヒキワタサン
漬けこまん	動詞,自立,*,*,五段・マ行,未然特殊,漬けこむ,ツケコマン,ツケコマン
送りださん	動詞,自立,*,*,五段・サ行,未然特殊,送りだす,オクリダサン,オクリダサン
買い尽くさん	動詞,自立,*,*,五段・サ行,未然特殊,買い尽くす,カイツクサン,カイツクサン
乗り過ごさん	動詞,自立,*,*,五段・サ行,未然特殊,乗り過ごす,ノリスゴサン,ノリスゴサン
並ばん	動詞,自立,*,*,五段・バ行,未然特殊,並ぶ,ナラバン,ナラバン
孕まん	動詞,自立,*,*,五段・マ行,未然特殊,孕む,ハラマン,ハラマン
いりこまん	動詞,自立,*,*,五段・マ行,未然特殊,いりこむ,イリコマン,イリコマン
いきごまん	動詞,自立,*,*,五段・マ行,未然特殊,いきごむ,イキゴマン,イキゴマン
吹き出さん	動詞,自立,*,*,五段・サ行,未然特殊,吹き出す,フキダサン,フキダサン
おきださん	動詞,自立,*,*,五段・サ行,未然特殊,おきだす,オキダサン,オキダサン
呈さん	動詞,自立,*,*,五段・サ行,未然特殊,呈す,テイサン,テイサン
殖やさん	動詞,自立,*,*,五段・サ行,未然特殊,殖やす,フヤサン,フヤサン
通さん	動詞,自立,*,*,五段・サ行,未然特殊,通す,トオサ,トーサ
待ち望まん	動詞,自立,*,*,五段・マ行,未然特殊,待ち望む,マチノゾマン,マチノゾマン
なずまん	動詞,自立,*,*,五段・マ行,未然特殊,なずむ,ナズマン,ナズマン
臨まん	動詞,自立,*,*,五段・マ行,未然特殊,臨む,ノゾマン,ノゾマン
押し倒さん	動詞,自立,*,*,五段・サ行,未然特殊,押し倒す,オシタオサン,オシタオサン
引き摺り込まん	動詞,自立,*,*,五段・マ行,未然特殊,引き摺り込む,ヒキズリコマン,ヒキズリコマン
織り成さん	動詞,自立,*,*,五段・サ行,未然特殊,織り成す,オリナサン,オリナサン
致さん	動詞,非自立,*,*,五段・サ行,未然特殊,致す,イタサン,イタサン
はぎあわさん	動詞,自立,*,*,五段・サ行,未然特殊,はぎあわす,ハギアワサン,ハギアワサン
うとまん	動詞,自立,*,*,五段・マ行,未然特殊,うとむ,ウトマン,ウトマン
ながれださん	動詞,自立,*,*,五段・サ行,未然特殊,ながれだす,ナガレダサン,ナガレダサン
蒸し返さん	動詞,自立,*,*,五段・サ行,未然特殊,蒸し返す,ムシカエサン,ムシカエサン
押さん	動詞,自立,*,*,五段・サ行,未然特殊,押す,オサン,オサン
歩まん	動詞,自立,*,*,五段・マ行,未然特殊,歩む,アユマン,アユマン
連込まん	動詞,自立,*,*,五段・マ行,未然特殊,連込む,ツレコマン,ツレコマン
在さん	動詞,自立,*,*,五段・サ行,未然特殊,在す,マシマサン,マシマサン
みださん	動詞,自立,*,*,五段・サ行,未然特殊,みだす,ミダサン,ミダサン
磨り潰さん	動詞,自立,*,*,五段・サ行,未然特殊,磨り潰す,スリツブサン,スリツブサン
利かさん	動詞,自立,*,*,五段・サ行,未然特殊,利かす,キカサン,キカサン
売りとばさん	動詞,自立,*,*,五段・サ行,未然特殊,売りとばす,ウリトバサン,ウリトバサン
切込まん	動詞,自立,*,*,五段・マ行,未然特殊,切込む,キリコマン,キリコマン
熟まん	動詞,自立,*,*,五段・マ行,未然特殊,熟む,ウマン,ウマン
食わさん	動詞,自立,*,*,五段・サ行,未然特殊,食わす,クワサン,クワサン
思さん	動詞,自立,*,*,五段・サ行,未然特殊,思す,オボサン,オボサン
ふきとばさん	動詞,自立,*,*,五段・サ行,未然特殊,ふきとばす,フキトバサン,フキトバサン
いいふらさん	動詞,自立,*,*,五段・サ行,未然特殊,いいふらす,イイフラサ,イーフラサ
はりたおさん	動詞,自立,*,*,五段・サ行,未然特殊,はりたおす,ハリタオサン,ハリタオサン
とどろかさん	動詞,自立,*,*,五段・サ行,未然特殊,とどろかす,トドロカサン,トドロカサン
もやさん	動詞,自立,*,*,五段・サ行,未然特殊,もやす,モヤサン,モヤサン
伸さん	動詞,自立,*,*,五段・サ行,未然特殊,伸す,ノサン,ノサン
伸さん	動詞,自立,*,*,五段・サ行,未然特殊,伸す,ノバサン,ノバサン
討ち果さん	動詞,自立,*,*,五段・サ行,未然特殊,討ち果す,ウチハタサン,ウチハタサン
むかえうたん	動詞,自立,*,*,五段・タ行,未然特殊,むかえうつ,ムカエウタン,ムカエウタン
もつれこまん	動詞,自立,*,*,五段・マ行,未然特殊,もつれこむ,モツレコマン,モツレコマン
移り住まん	動詞,自立,*,*,五段・マ行,未然特殊,移り住む,ウツリスマン,ウツリスマン
延さん	動詞,自立,*,*,五段・サ行,未然特殊,延す,ノバサン,ノバサン
そらさん	動詞,自立,*,*,五段・サ行,未然特殊,そらす,ソラサン,ソラサン
屈さん	動詞,自立,*,*,五段・サ行,未然特殊,屈す,クッサン,クッサン
寿がん	動詞,自立,*,*,五段・ガ行,未然特殊,寿ぐ,コトホガン,コトホガン
際立たん	動詞,自立,*,*,五段・タ行,未然特殊,際立つ,キワダタン,キワダタン
そそのかさん	動詞,自立,*,*,五段・サ行,未然特殊,そそのかす,ソソノカサン,ソソノカサン
来さん	動詞,自立,*,*,五段・サ行,未然特殊,来す,キタサン,キタサン
突っこまん	動詞,自立,*,*,五段・マ行,未然特殊,突っこむ,ツッコマン,ツッコマン
見渡さん	動詞,自立,*,*,五段・サ行,未然特殊,見渡す,ミワタサン,ミワタサン
とけこまん	動詞,自立,*,*,五段・マ行,未然特殊,とけこむ,トケコマン,トケコマン
背負い込まん	動詞,自立,*,*,五段・マ行,未然特殊,背負い込む,ショイコマン,ショイコマン
背負い込まん	動詞,自立,*,*,五段・マ行,未然特殊,背負い込む,セオイコマン,セオイコマン
かりたおさん	動詞,自立,*,*,五段・サ行,未然特殊,かりたおす,カリタオサン,カリタオサン
繋がん	動詞,自立,*,*,五段・ガ行,未然特殊,繋ぐ,ツナガン,ツナガン
煮込まん	動詞,自立,*,*,五段・マ行,未然特殊,煮込む,ニコマン,ニコマン
切結ばん	動詞,自立,*,*,五段・バ行,未然特殊,切結ぶ,キリムスバン,キリムスバン
つけださん	動詞,自立,*,*,五段・サ行,未然特殊,つけだす,ツケダサン,ツケダサン
落とさん	動詞,自立,*,*,五段・サ行,未然特殊,落とす,オトサン,オトサン
思い出さん	動詞,自立,*,*,五段・サ行,未然特殊,思い出す,オモイダサン,オモイダサン
絶やさん	動詞,自立,*,*,五段・サ行,未然特殊,絶やす,タヤサン,タヤサン
おこないすまさん	動詞,自立,*,*,五段・サ行,未然特殊,おこないすます,オコナイスマサン,オコナイスマサン
呑みこまん	動詞,自立,*,*,五段・マ行,未然特殊,呑みこむ,ノミコマン,ノミコマン
突っぷさん	動詞,自立,*,*,五段・サ行,未然特殊,突っぷす,ツップサン,ツップサン
きざまん	動詞,自立,*,*,五段・マ行,未然特殊,きざむ,キザマン,キザマン
なめさん	動詞,自立,*,*,五段・サ行,未然特殊,なめす,ナメサン,ナメサン
食まん	動詞,自立,*,*,五段・マ行,未然特殊,食む,ハマン,ハマン
増さん	動詞,自立,*,*,五段・サ行,未然特殊,増す,マサン,マサン
沸き立たん	動詞,自立,*,*,五段・タ行,未然特殊,沸き立つ,ワキタタン,ワキタタン
蒸さん	動詞,自立,*,*,五段・サ行,未然特殊,蒸す,ムサン,ムサン
蒸さん	動詞,自立,*,*,五段・サ行,未然特殊,蒸す,フカサン,フカサン
老け込まん	動詞,自立,*,*,五段・マ行,未然特殊,老け込む,フケコマン,フケコマン
持出さん	動詞,自立,*,*,五段・サ行,未然特殊,持出す,モチダサン,モチダサン
つっころばさん	動詞,自立,*,*,五段・サ行,未然特殊,つっころばす,ツッコロバサン,ツッコロバサン
くゆらさん	動詞,自立,*,*,五段・サ行,未然特殊,くゆらす,クユラサン,クユラサン
打ち消さん	動詞,自立,*,*,五段・サ行,未然特殊,打ち消す,ウチケサン,ウチケサン
役に立たん	動詞,自立,*,*,五段・タ行,未然特殊,役に立つ,ヤクニタタン,ヤクニタタン
おがみたおさん	動詞,自立,*,*,五段・サ行,未然特殊,おがみたおす,オガミタオサン,オガミタオサン
突き戻さん	動詞,自立,*,*,五段・サ行,未然特殊,突き戻す,ツキモドサン,ツキモドサン
ひやさん	動詞,自立,*,*,五段・サ行,未然特殊,ひやす,ヒヤサン,ヒヤサン
響かさん	動詞,自立,*,*,五段・サ行,未然特殊,響かす,ヒビカサン,ヒビカサン
駆り催さん	動詞,自立,*,*,五段・サ行,未然特殊,駆り催す,カリモヨオサン,カリモヨオサン
仕組まん	動詞,自立,*,*,五段・マ行,未然特殊,仕組む,シクマン,シクマン
攫まん	動詞,自立,*,*,五段・マ行,未然特殊,攫む,ツカマン,ツカマン
先立たん	動詞,自立,*,*,五段・タ行,未然特殊,先立つ,サキダタン,サキダタン
倒れ込まん	動詞,自立,*,*,五段・マ行,未然特殊,倒れ込む,タオレコマン,タオレコマン
駆出さん	動詞,自立,*,*,五段・サ行,未然特殊,駆出す,カリダサン,カリダサン
駆出さん	動詞,自立,*,*,五段・サ行,未然特殊,駆出す,カケダサン,カケダサン
釣り込まん	動詞,自立,*,*,五段・マ行,未然特殊,釣り込む,ツリコマン,ツリコマン
打勝たん	動詞,自立,*,*,五段・タ行,未然特殊,打勝つ,ウチカタン,ウチカタン
溶けださん	動詞,自立,*,*,五段・サ行,未然特殊,溶けだす,トケダサン,トケダサン
せいださん	動詞,自立,*,*,五段・サ行,未然特殊,せいだす,セイダサン,セイダサン
さそいださん	動詞,自立,*,*,五段・サ行,未然特殊,さそいだす,サソイダサン,サソイダサン
かきささん	動詞,自立,*,*,五段・サ行,未然特殊,かきさす,カキササン,カキササン
飲みこまん	動詞,自立,*,*,五段・マ行,未然特殊,飲みこむ,ノミコマン,ノミコマン
かいださん	動詞,自立,*,*,五段・サ行,未然特殊,かいだす,カイダサン,カイダサン
打ち落さん	動詞,自立,*,*,五段・サ行,未然特殊,打ち落す,ウチオトサン,ウチオトサン
じらさん	動詞,自立,*,*,五段・サ行,未然特殊,じらす,ジラサン,ジラサン
言い聞かさん	動詞,自立,*,*,五段・サ行,未然特殊,言い聞かす,イイキカサ,イーキカサ
